text,font_size,y0,page_num,char_len,word_count,is_upper,starts_with_num,label
Application form for grant of LTC advance,11.67,722.8979300000001,0,41,7,0,0,Title
Name of the Government Servant,9.74,697.2557624,0,30,5,0,0,None
Designation,9.74,679.1993892,0,11,1,0,0,None
Date of entering the Central Government,9.74,661.0845496000001,0,39,6,0,0,None
Service,9.74,643.505652,0,7,1,0,0,None
PAY + SI + NPA,9.74,625.3908124000001,0,14,5,1,0,None
5. Whether permanent or temporary,9.74,604.3331640000001,0,33,5,0,1,None
Home Town as recorded in the Service Book,9.74,589.1513888000002,0,41,8,0,0,None
Whether wife / husband is employed and if,9.74,576.9708888000002,0,41,8,0,0,None
so whether entitled to LTC,9.74,559.3919912000002,0,26,5,0,0,None
Whether the concession is to be availed for,9.74,541.2674072000002,0,43,8,0,0,None
visiting home town and if so block for which,9.74,523.6885096000002,0,44,9,0,0,None
LTC is to be availed.,9.74,506.05114560000015,0,21,5,0,0,None
(a) If the concession is to visit anywhere in,9.74,487.99477240000016,0,45,9,0,0,None
"India, the place to be visited.",9.74,470.35740840000017,0,31,6,0,0,None
(b) Block for which to be availed.,9.74,452.77851080000016,0,34,7,0,0,None
Single,9.74,434.6539268000002,0,6,1,0,0,None
rail,9.74,434.6539268000002,0,4,1,0,0,None
fare/bus,9.74,434.6539268000002,0,8,1,0,0,None
fare,9.74,434.6539268000002,0,4,1,0,0,None
from,9.74,434.6539268000002,0,4,1,0,0,None
the,9.74,434.6539268000002,0,3,1,0,0,None
10.,9.74,414.0737540000002,0,3,1,0,1,None
headquarters to home town/place of visit by,9.74,417.0750292000002,0,43,7,0,0,None
shortest route.,9.74,399.4961316000002,0,15,2,0,0,None
Persons in respect of whom LTC is proposed to be availed.,9.74,381.31308120000017,0,57,11,0,0,None
Name,9.74,366.18977240000015,0,4,1,0,0,None
Age,9.74,366.18977240000015,0,3,1,0,0,None
Relationship,9.74,366.18977240000015,0,12,1,0,0,None
S.No,9.74,366.18977240000015,0,4,1,0,0,None
Amount of advance required.,9.74,269.11605960000014,0,27,4,0,0,None
Rs.,9.74,269.11605960000014,0,3,1,0,0,None
11.,9.74,331.63613000000015,0,3,1,0,1,None
